year;flow;reporter;reporter_iso;partner;partner_iso;commodity;unit;wty;value
2018;Import;Mexico;MEX;World;WLD;"Wine; sparkling";No Quantity;0;53737148
2018;Import;Mexico;MEX;Argentina;ARG;"Wine; sparkling";No Quantity;0;425369
2018;Import;Mexico;MEX;Australia;AUS;"Wine; sparkling";Volume in litres;7438;29976
2018;Import;Mexico;MEX;Chile;CHL;"Wine; sparkling";Volume in litres;49939;195582
2018;Import;Mexico;MEX;France;FRA;"Wine; sparkling";Volume in litres;1438216;30671270
2018;Import;Mexico;MEX;Germany;DEU;"Wine; sparkling";Volume in litres;28167;115180
2018;Import;Mexico;MEX;Italy;ITA;"Wine; sparkling";Volume in litres;4341142;15606400
2018;Import;Mexico;MEX;Portugal;PRT;"Wine; sparkling";Volume in litres;28954;81885
2018;Import;Mexico;MEX;Spain;ESP;"Wine; sparkling";Volume in litres;2377347;5667919
2018;Import;Mexico;MEX;USA;USA;"Wine; sparkling";Volume in litres;230906;943567
2019;Import;Mexico;MEX;World;WLD;"Wine; sparkling";No Quantity;0;52346017
2019;Import;Mexico;MEX;Argentina;ARG;"Wine; sparkling";No Quantity;0;492147
2019;Import;Mexico;MEX;Chile;CHL;"Wine; sparkling";Volume in litres;75362;292368
2019;Import;Mexico;MEX;France;FRA;"Wine; sparkling";Volume in litres;1281659;28565040
2019;Import;Mexico;MEX;Germany;DEU;"Wine; sparkling";No Quantity;0;124605
2019;Import;Mexico;MEX;Italy;ITA;"Wine; sparkling";No Quantity;0;16131916
2019;Import;Mexico;MEX;Portugal;PRT;"Wine; sparkling";Volume in litres;29525;87999
2019;Import;Mexico;MEX;South Africa;ZAF;"Wine; sparkling";Volume in litres;137;861
2019;Import;Mexico;MEX;Spain;ESP;"Wine; sparkling";Volume in litres;2738624;5585495
2019;Import;Mexico;MEX;USA;USA;"Wine; sparkling";No Quantity;0;1065586